Mr. Amyand.,,,['1799'],Miscellanies.,EPF108491002v,"-1799.
             A bow said to be made of a bone from East Indies given to me by Mr. Amyand."
Mr. Theobalds.,,,['1801'],Miscellanies.,EPF108491002v,"-1801.
             A trumpet from Norway made of 2 pieces of wood about 5 foot
              long in form of a trumpet fastened by birch tree
              bark from Mr. Theobalds."
Mr. Roberts,,,['1806'],Miscellanies.,EPF108491002v,"-1806.
            Large severall figured pieces of blew
              glasse taken from the bottom of the
              fire place of a furnace given me by Mr. Roberts.
            
              
              30 C"
Mr. M,,,['1807'],Miscellanies.,EPF108491002v,"-1807.
            A  stopple & a leather boracho or bottle wherein is carried wine on a
              journey wt. a wooden
              horn mouth to
              drink out of it. from Mr. M
              c. Cormick a surgeon who brought
              it from Lisbon.
            
              
              19 N"
Dr. Stuart,#Alexander_Stuart,32430927,['1809'],Miscellanies.,EPF108491002v,"-1809.
            A weapon
                  . dagger wt. wch.
              the Malayese run a muck in Malacca made of
              2 antelopes horns shed at both ends wt. iron given to me by  Dr. Stuart."
Mr. Mc. Cormick,,,['1812'],Miscellanies.,EPF108491002v,"1812.
            A  outsmall
              leather
              bottle from Lisbon so
              elastick as when the air is forcd  to fill its
              selfe wt. water the upper
                  part screwd of made of _ _ _ _ from Brasile. It is used to squirt water the upper pt. screwd on in Carnevale times by
              frollicksom people. Glister pipes are made of it. from Mr. Mc. Cormick.
            
              
              27"
Mr. Hodsun,,,['1813'],Miscellanies.,EPF108491002v,"-1813.
            A sheet of white
              paper 21 foot long & 4 1/2 broad from China by
                  Mr. Hodsun."
Mr. Launce,,,['1816'],Miscellanies.,EPF108491002v,"-1816.
            Sticks for cleaning the teeth
              from Guinea by Mr.
                  Launce.
            
              
              27 C"
father Fontenay,#Jean_De_Fontaney,,['7'],Miscellanies.,EPF108491003,"___7.
            A sword from China
              worn there by
               father Fontenay who gave it me.
              The Chinese wear swords with their hilts towards their backs."
Mr. Cunningham,#Mr._Cunningham,,['9'],Miscellanies.,EPF108491003,"___9.
            A hatt from Tunquin
              where it belonged to the Queen. It is made of 2 Talipot leaves on the upper
              side & cane underneath. It was sent me by
              Mr. Cunningham.
            
              
              X"
