,catnum,div2_label,page_nu
1382,1025,Miscellanies.,EPF108491107v
1385,1025,Miscellanies.,EPF108491108
1434,1073,Miscellanies.,EPF108491111v
1433,1073,Miscellanies.,EPF108491111
1818,1455,Miscellanies.,EPF108491133
1805,1455,Miscellanies.,EPF108491132v
1856,1492,Miscellanies.,EPF108491135
1855,1492,Miscellanies.,EPF108491135
1921,1556,Miscellanies.,EPF108491138
1920,1556,Miscellanies.,EPF108491138
2159,1799,Miscellanies.,EPF108491152
0,1799,Miscellanies.,EPF108491002v
239,2,Miscellanies.,EPF108491009v
22,2,Miscellanies.,EPF108491003
501,2046,Miscellanies.,EPF108491018v
512,2046,Miscellanies.,EPF108491019v
542,2064,Miscellanies.,EPF108491020v
555,2064,Miscellanies.,EPF108491021v
559,2068,Miscellanies.,EPF108491021v
572,2068,Miscellanies.,EPF108491022v
23,3,Miscellanies.,EPF108491003
240,3,Miscellanies.,EPF108491009v
739,396,Miscellanies.,EPF108491034
1095,396,Miscellanies.,EPF108491079
24,4,Miscellanies.,EPF108491003
241,4,Miscellanies.,EPF108491009v
886,542,Miscellanies.,EPF108491050
887,542,Miscellanies.,EPF108491051
242,6,Miscellanies.,EPF108491009v
26,6,Miscellanies.,EPF108491003
1267,909,Miscellanies.,EPF108491099
1255,909,Miscellanies.,EPF108491098
1268,910,Miscellanies.,EPF108491099
1256,910,Miscellanies.,EPF108491098
1274,916*,Miscellanies.,EPF108491099
1275,916*,Miscellanies.,EPF108491099
4620,no catnum,Miscellanies.,EPF108491135v
4621,no catnum,Miscellanies.,EPF108491135v
4619,no catnum,Miscellanies.,EPF108491131v
4618,no catnum,Miscellanies.,EPF108491127v
4617,no catnum,Miscellanies.,EPF108491124v
4616,no catnum,Miscellanies.,EPF108491115v
4615,no catnum,Miscellanies.,EPF108491110v
4609,no catnum,Miscellanies.,EPF108491018v
4613,no catnum,Miscellanies.,EPF108491092v
4612,no catnum,Miscellanies.,EPF108491071v
4611,no catnum,Miscellanies.,EPF108491066v
4610,no catnum,Miscellanies.,EPF108491035v
4608,no catnum,Miscellanies.,EPF108491005av
4622,no catnum,Miscellanies.,EPF108491135v
4614,no catnum,Miscellanies.,EPF108491099v
4623,no catnum,Miscellanies.,EPF108491143v
