div3
person,M r. Amyand.
catnum,-1799.
div2,Miscellanies.
div3
person,M r. Theobalds.
catnum,-1801.
div2,Miscellanies.
div3
person,M r. Roberts
catnum,-1806.
div2,Miscellanies.
div3
person,M r. M
catnum,-1807.
div2,Miscellanies.
div3
person, D r. Stuart
catnum,-1809.
div2,Miscellanies.
div3
person,M r. M c. Cormick
catnum,1812.
div2,Miscellanies.
div3
person,M r. Hodsun
catnum,-1813.
div2,Miscellanies.
div3
person,M r. Launce
catnum,-1816.
div2,Miscellanies.
div3
person, father Fontenay
catnum,___7.
div2,Miscellanies.
div3
person,M r. Cunningham
catnum,___9.
div2,Miscellanies.
div3
person,D r. Waldo
catnum,12.
div2,Miscellanies.
div3
person,Cap t. Walker.
catnum,-1820.
div2,Miscellanies.
div3
person,Cap t. Walker
catnum,-1822
div2,Miscellanies.
div3
person,Isaac Waldron Esq r
catnum,-1831.
div2,Miscellanies.
div3
person,Abraham Waldron?
catnum,-1835.
div2,Miscellanies.
div3
person, M r. Courtens
catnum,20.
div2,Miscellanies.
div3
person, M r. Edwards
catnum,-1838.
div2,Miscellanies.
div3
person,D r. Massy
catnum,-1843.
div2,Miscellanies.
div3
person, M r. Edwards
catnum,-1844.
div2,Miscellanies.
div3
person, M r. Collinson.
catnum,-1845.
div2,Miscellanies.
div3
person, Mons r. Gosset
catnum,-1847.
div2,Miscellanies.
div3
person, D r. Mortimer
catnum,-1851.
div2,Miscellanies.
div3
person, M r. Gordon
catnum,-1852.
div2,Miscellanies.
div3
person,D r. Massy
catnum,-1856.
div2,Miscellanies.
div3
person,D r. Douce.
catnum,-1857.
div2,Miscellanies.
div3
person,Duke of Bourbons
catnum,-1859.
div2,Miscellanies.
div3
person,M rs. Edwards.
person, S r. Hans
person,J Empson
catnum,"
              -1861
            "
div2,Miscellanies.
div3
person,M r. Zink
person,Lady Sondes.
person, S r. Hans
person, M r. Southwell
catnum,-1862
div2,Miscellanies.
div3
person, Dampier
catnum,43.
div2,Miscellanies.
div3
person,M r. Styleman
catnum,-1863.
div2,Miscellanies.
div3
person, M r. Bell.
catnum,-1866.
div2,Miscellanies.
div3
person, Cap t. Midleton.
catnum,1867.
div2,Miscellanies.
div3
person,M r. Hoofnail
catnum,-1869.
div2,Miscellanies.
div3
person,M rs. Hepheshebah Parker
catnum,-1871.
div2,Miscellanies.
div3
person,D r. Labe
catnum,-1872.
div2,Miscellanies.
div3
person,M rs. Stephens
catnum,-1874.
div2,Miscellanies.
div3
person, Pet.
catnum,-1876.
div2,Miscellanies.
div3
person, D r. Krieg
catnum,-55.
div2,Miscellanies.
div3
person,M r.- Cunningham
catnum,-64.
div2,Miscellanies.
div3
person,M r. Pycolas
person,Vale. Vicor
catnum,-1880.
div2,Miscellanies.
div3
person, Short
catnum,1891.
div2,Miscellanies.
div3
person,Marcus Moses
catnum,-1892.
div2,Miscellanies.
div3
person, Pet
catnum,-1895.
div2,Miscellanies.
div3
person,Dr. Massy
catnum,-1916.
div2,Miscellanies.
div3
person,M r. Collier.
catnum,-1921.
div2,Miscellanies.
div3
person,"D r. Douce,"
catnum,-1927.
div2,Miscellanies.
div3
person,M r. Alex r Light
catnum,-1933.
div2,Miscellanies.
div3
person,M rs. Bernard -----
catnum,-112.
div2,Miscellanies.
div3
person,M rs. Hayes
person,D r. Waldo
catnum,-114.
div2,Miscellanies.
div3
person,M r. Lapthorn
catnum,-115.
div2,Miscellanies.
div3
person,M r. Lapthorn
catnum,-116.
div2,Miscellanies.
div3
person, Father Fontenay
catnum,-119.
div2,Miscellanies.
div3
person,M r. Doyly
catnum,-122.
div2,Miscellanies.
div3
person, Cap t Christoph r. Middleton
catnum,-1934.
div2,Miscellanies.
div3
person,M r. Bewley
person,M r. Reaumurs
catnum,-1938.
div2,Miscellanies.
div3
person, M r. Millar
catnum,1969.
div2,Miscellanies.
div3
person, D r. Amman
catnum,1970.
div2,Miscellanies.
div3
person, D r. Amman
catnum,-1980.
div2,Miscellanies.
div3
person, D r. Mortimer
catnum,-1981.
div2,Miscellanies.
div3
person,M r. Padmore
catnum,-1982.
div2,Miscellanies.
div3
person, S r. Isaac Newton
person, M r. Batty Langley
person,D r. Maty
catnum,-1984.
div2,Miscellanies.
div3
person, S r. Isaac Newton
person, D r. Morton
catnum,-1985.
div2,Miscellanies.
div3
person, King Charles 2 d
person, Kilegrew
person,D r. Maty
catnum,-1987.
div2,Miscellanies.
div3
person, Francisco Fiamengo
catnum,168
div2,Miscellanies.
div3
person,M r. Beddevoles
person,M r. Marshall
catnum,-176.
div2,Miscellanies.
div3
person,M r. Wilson
catnum,-179.
div2,Miscellanies.
div3
person,M r. Mellin
catnum,-180.
div2,Miscellanies.
div3
person, M r. Muss ch en broock
person, Prince of Orange
person,M r. Desmarets.
person,M r. Bentinck
person, K. James
catnum,-181.
div2,Miscellanies.
div3
person,M r. Hawksbee.
catnum,-182.
div2,Miscellanies.
div3
person,Dr. Charlett
catnum,-183.
div2,Miscellanies.
div3
person, M r. Pinfold.
catnum,-184.
div2,Miscellanies.
div3
person, Campani
person,M r. Lenoy.
catnum,-185.
div2,Miscellanies.
div3
person,Hand
catnum,"
              2002.
            "
div2,Miscellanies.
div3
person,M r. Haynes
