Mr. Amyand,#Mr._Amyand,,['1799'],Miscellanies.,EPF108491002v,"-1799.
             A bow said to be made of a bone from East Indies given to me by Mr. Amyand","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1799.</ea:catnum>
            <p> A <add rend=""underline"">bow</add> said to be made of a bone from <placeName ref=""#East_Indies"">East Indies</placeName> given<lb/> to me by <persName ref=""#Mr._Amyand"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Amyand</add></persName>
            </p>
            <p>
              
            </p>
          </div3>

          "
Mr. Theobalds,#James_Theobalds_Esqr,51253882,['1801'],Miscellanies.,EPF108491002v,"-1801.
             A trumpet from Norway made of 2 pieces of wood about 5 foot
              long in form of a trumpet fastened by birch tree
              bark from Mr. Theobalds.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1801.</ea:catnum>
            <p> A <add rend=""underline"">trumpet</add> from <placeName ref=""#Norway"">Norway</placeName> made of 2 pieces of wood about 5 foot<lb/>
              <measure type=""sizeWeight"">long</measure> in form of a trumpet fastened by birch tree
              bark from <persName ref=""#James_Theobalds_Esqr"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Theobalds</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Mr. Roberts,#Mr_Roberts,,['1806'],Miscellanies.,EPF108491002v,"-1806.
            Large severall figured pieces of blew
              glasse taken from the bottom of the
              fire place of a furnace given me by Mr. Roberts.
            
              
              30 C","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1806.</ea:catnum>
            <p>Large <measure>severall</measure> figured pieces of <metamark function=""carets"">blew</metamark>
              <add rend=""underline""><material>glasse</material></add> taken from the bottom of the
              fire<lb/> place of a furnace given me by <persName ref=""#Mr_Roberts"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Roberts</add></persName>.</p>
            <p>
              
              <add rend=""red"">30 C</add>
            </p>
          </div3>

          "
Mr. Mc. Cormick,#MrMC,,['1807'],Miscellanies.,EPF108491002v,"-1807.
            A  stopple & a leather boracho or bottle wherein is carried wine on a
              journey wt. a wooden
              horn mouth to
              drink out of it. from Mr. Mc. Cormick a surgeon who brought
              it from Lisbon.
            
              
              19 N","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1807.</ea:catnum>
            <p>A  stopple &amp; a <material>leather</material> boracho or bottle wherein is carried wine on<lb/> a
              journey w<hi rend=""sup"">t</hi>. a <material>wooden</material>
              <material>horn</material> mouth<lb/> to
              drink out of it. from <persName ref=""#MrMC"">M<hi rend=""sup"">r</hi>. M<hi rend=""sup"">c</hi>. <add rend=""underline"">Cormick</add></persName> a surgeon who<lb/> brought
              it from <placeName ref=""#Lisbon"">Lisbon</placeName>.</p>
            <p>
              
              <add rend=""red"">19 N</add>
            </p>
          </div3>

          "
Dr. Stuart,#Alexander_Stuart,32430927,['1809'],Miscellanies.,EPF108491002v,"-1809.
            A weapon
                  . dagger wt. wch.
              the Malayese run a muck in Malacca made of
              2 antelopes horns shed at both ends wt. iron given to me by  Dr. Stuart.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1809.</ea:catnum>
            <p>A <metamark function=""carets""><add rend=""underline""><add hand=""later"">weapon
                  </add></add></metamark>. dagger w<hi rend=""sup"">t</hi>. w<hi rend=""sup"">ch</hi>.
              the Malayese run a muck in <placeName ref=""#Malacca"">Malacca</placeName> made<lb/> of
              2 antelopes <add rend=""underline"">horns</add> shed at both ends w<hi rend=""sup"">t</hi>. <material>iron</material> given to me<lb/> by <persName ref=""#Alexander_Stuart""> D<hi rend=""sup"">r</hi>. <add rend=""underline"">Stuart</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Mr. Mc. Cormick,#MrMC,,['1812'],Miscellanies.,EPF108491002v,"1812.
            A  outsmall
              leather
              bottle from Lisbon so
              elastick as when the air is forcd  to fill its
              selfe wt. water the upper
                  part screwd of made of _ _ _ _ from Brasile. It is used to squirt water the upper pt. screwd on in Carnevale times by
              frollicksom people. Glister pipes are made of it. from Mr. Mc. Cormick.
            
              
              27","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">1812.</ea:catnum>
            <p>A  out<measure type=""sizeWeight"">small</measure>
              <metamark function=""carets""><material>leather</material></metamark>
              <add rend=""underline"">bottle</add> from <placeName ref=""#Lisbon"">Lisbon</placeName> so
              elastick as when the air is forcd <lb/> to fill its
              selfe w<hi rend=""sup"">t</hi>. water <metamark function=""carets"">the upper
                  <measure>part</measure> screwd of</metamark> made of _ _ _ _ from <placeName ref=""#Brasil"">Brasile</placeName>. It is used<lb/> to squirt water <metamark function=""carets"">the upper pt. screwd on</metamark> in Carnevale times by
              frollicksom people. Glister pipes<lb/> are made of it. from <persName ref=""#MrMC"">M<hi rend=""sup"">r</hi>. M<hi rend=""sup"">c</hi>. <add rend=""underline"">Cormick</add></persName>.</p>
            <p>
              
              <add rend=""red"">27</add>
            </p>
          </div3>

          "
Mr. Hodsun,#Mr._Hodson,,['1813'],Miscellanies.,EPF108491002v,"-1813.
            A sheet of white
              paper 21 foot long & 4 1/2 broad from China by
                  Mr. Hodsun.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1813.</ea:catnum>
            <p>A sheet of <note type=""colour"">white</note>
              <add rend=""underline"">paper</add> 21 <measure>foot long</measure> &amp; 4 1/2 <measure type=""sizeWeight"">broad</measure> from <placeName ref=""#China"">China<lb/></placeName> by
                  <persName ref=""#Mr._Hodson"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Hodsun</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Mr. Launce,#Mr._Launce,,['1816'],Miscellanies.,EPF108491002v,"-1816.
            Sticks for cleaning the teeth
              from Guinea by 
              Mr. Launce.
            
              
              27 C","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1816.</ea:catnum>
            <p><add rend=""underline"">Sticks</add> for cleaning the <add rend=""underline"">teeth</add>
              from <placeName ref=""#Guinea"">Guinea</placeName> by 
              <persName ref=""#Mr._Launce"">M<hi rend=""sup"">r</hi>. <add rend=""underline""><unclear>Launce</unclear></add></persName>.</p>
            <p>
              
              <add rend=""red"">27 C</add>
            </p>
          </div3>

          "
father Fontenay,#Jean_De_Fontaney,,['7'],Miscellanies.,EPF108491003,"___7.
            A sword from China
              worn there by
              father Fontenay who gave it me.
              The Chinese wear swords with their hilts towards their backs.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">___7.</ea:catnum>
            <p>A <add rend=""underline"">sword</add> from <placeName ref=""#China"">China</placeName>
              worn there by<lb/>
              <persName ref=""#Jean_De_Fontaney"">father <add rend=""underline"">Fontenay</add></persName> who gave it me.
              The<lb/> Chinese wear swords with their hilts<lb/> towards their backs.</p>
            <p>
              
              
            </p>
          </div3>

          "
Mr. Cunningham,#James_Cunningham,,['9'],Miscellanies.,EPF108491003,"___9.
            A hatt from Tunquin
              where it belonged to the Queen. It is made of 2 Talipot leaves on the upper
              side & cane underneath. It was sent me by
              Mr. Cunningham.
            
              
              X","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">___9.</ea:catnum>
            <p>A <add rend=""underline"">hatt</add> from <placeName ref=""#Tonkin"">Tunquin</placeName>
              where it belonged to<lb/> the Queen. It is made of 2 Talipot<lb/> leaves on the upper
              side &amp; cane<lb/> underneath. It was sent me by<lb/>
              <persName ref=""#James_Cunningham"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Cunningham</add></persName>.</p>
            <p>
              
              <metamark rend=""ink"">X</metamark>
            </p>
          </div3>

          "
Dr. Waldo,#Daniel_Waldo,,['12'],Miscellanies.,EPF108491003,"12.
            An instrument or whisk for cleaning of
                pictures
              in China
                  ware. of an Indian Cows
                  tail with a mother of pearl handle from
                  Dr. Waldo at Suratte. Vis Quadrupe No. 1408
              - - 1. 6.
            
              
              X","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">12.</ea:catnum>
            <p>An <add rend=""underline"">instrument <metamark function=""carets""><add hand=""?""><add rend=""underline"">or whisk</add></add></metamark> for cleaning of
                pictures</add>
              <metamark function=""carets""><add hand=""?"">in <placeName ref=""#China"">China</placeName>
                  ware.</add></metamark><lb/> of an <add rend=""underline"">Indian <material>Cows
                  tail</material></add> with a <material>mother<lb/> of pearl</material> handle from
                  <persName ref=""#Daniel_Waldo"">D<hi rend=""sup"">r</hi>. <add rend=""underline"">Waldo</add></persName><lb/> at <placeName ref=""#Suratte"">Suratte</placeName>. <add hand=""?"">Vis Quadrupe N<hi rend=""sup"">o</hi>. 1408</add>
              <note type=""value"">- - 1. 6.</note></p>
            <p>
              
              <metamark rend=""ink"">X</metamark>
            </p>
          </div3>

          "
Capt. Walker,#Capt_Walker,,['1820'],Miscellanies.,EPF108491003v,"-1820.
            A very large
              bow & arrows from New
                England by
              Capt. Walker.
              Fleches d'Amerique Biron p. 279.
             CL","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1820.</ea:catnum>
            <p>A very <measure type=""sizeWeight"">large</measure>
              <add rend=""underline"">bow &amp; arrows</add> from <placeName ref=""#New_England"">New
                England</placeName> by<lb/>
              <persName ref=""#Capt_Walker"">Cap<hi rend=""sup"">t</hi>. <add rend=""underline"">Walker</add></persName>.
              <add hand=""?""><bibl>Fleches d'Amerique Biron<lb/> p. 279</bibl>.</add></p>
            <p> CL </p>
          </div3>

          "
Capt. Walker,#Capt_Walker,,['1822'],Miscellanies.,EPF108491003v,"-1822
            A 
              large flat roundish
              earthen ware Jarr of an
              ash colour made by the Indians at
              Berbices near Surinam befor the coming of the Europeans into the West Indies from
              Capt. Walker.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1822</ea:catnum>
            <p>A 
              <measure type=""sizeWeight"">large</measure> flat <measure type=""shape"">roundish</measure>
              <add rend=""underline""><material>earthen ware</material> Jarr</add> of an<lb/>
              <note type=""colour"">ash colour</note> made by the Indians at<lb/>
              <placeName ref=""#Berbice"">Berbices</placeName> near <placeName ref=""#Surinam"">Surinam</placeName> befor the coming<lb/> of the Europeans into the <placeName ref=""#West_Indies"">West Indies</placeName> from<lb/>
              <persName ref=""#Capt_Walker"">Cap<hi rend=""sup"">t</hi>. <add rend=""underline"">Walker</add></persName>.</p>
            <p>
              
            </p>
          </div3>

          "
Isaac Waldron Esqr,#Isaac_Waldron_Esqr,,['1831'],Miscellanies.,EPF108491003v,"-1831.
            A piece of some
              instrument of musick found at Meriat.
              hope near Bristol in some plowed land on a
              spott where King Philipp lived & undoubtedly was made befor any tools
              were invented there gave me by Isaac Waldron Esqr
              Bristol March. 19. 1735/6 Id.
            
              
              28 b.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1831.</ea:catnum>
            <p>A <measure>piece</measure> of <measure>some</measure>
              <add rend=""underline"">instrument of musick</add> found at <unclear/>Meriat.<lb/>
              <placeName ref=""#Bristol"">hope near Bristol</placeName> in <measure>some</measure> plowed land on a
              spott where<lb/> King Philipp lived &amp; undoubtedly was made befor any<lb/> tools
              were invented there gave me by <persName ref=""#Isaac_Waldron_Esqr"">Isaac <add rend=""underline"">Waldron</add> Esq<hi rend=""sup"">r</hi></persName><lb/>
              <placeName ref=""#Bristol"">Bristol</placeName> March. 19. 1735/6 <add rend=""underline"">Id.</add></p>
            <p>
              
              <add rend=""red"">28 b.</add>
            </p>
          </div3>

          "
Abraham Waldron,#Abraham_Waldron,,['1835'],Miscellanies.,EPF108491003v,"-1835.
            An Indian Stone pestle to beat in
                 trough made of wood burnt
              & hollowed by their hatchets) Indian corn to make Rocelure belong'd
              to Abraham Waldron?
              Id.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1835.</ea:catnum>
            <p>An Indian <add rend=""underline""><material>Stone</material> pestle</add> to beat in
                 trough made<lb/> of <material>wood</material> burnt
              &amp; hollowed by their hatchets) Indian corn<lb/> to make <unclear/>Rocelure belong'd
              to <persName ref=""#Abraham_Waldron"">Abraham <add rend=""underline"">Waldron</add></persName>?
              <add rend=""underline"">Id.</add></p>
            <p>
              
            </p>




            <pb xml:id=""EPF108491004""/>
            <p>
              
            </p>
          </div3>

          "
Mr. Courtens,#William_Courten,13790434,['20'],Miscellanies.,EPF108491003v,"20.
            A crab tree clubb or mace very
              large & much knotted , with
              Mr. Courtens
              arms on the top of it.","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">20.</ea:catnum>
            <p>A <material>crab tree</material> clubb or <add rend=""underline"">mace</add> very<lb/>
              <measure type=""sizeWeight"">large</measure> &amp; much <measure type=""shape"">knotted</measure> , with<lb/>
              <persName ref=""#William_Courten"">M<hi rend=""sup"">r</hi>. <add rend=""underline"">Courtens</add></persName>
              arms on the top<lb/> of it.</p>
            <p>
              
            </p>
          </div3>

          "
Mr. Edwards,#Mr._Edwards,13086266,['1838'],Miscellanies.,EPF108491004v,"-1838.
            A 
              bolt made of unicorns horn on wch. are rudely engraved boats
              canoes &c. fastened wt.
              a fish skin - From Hudsons
                  Bay by  Mr. Edwards.
            
              
              28 C","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1838.</ea:catnum>
            <p>A 
              <add rend=""underline"">bolt</add> made of <material>unicorns <add rend=""underline"">horn</add></material> on w<hi rend=""sup"">ch</hi>. are rudely engraved<lb/> boats
              canoes &amp;c. <metamark function=""carets"">fastened</metamark> w<hi rend=""sup"">t</hi>.
              a <material>fish skin</material> - From <add rend=""underline""><placeName ref=""#Hudson_Bay"">Hudsons
                  Bay<lb/></placeName></add> by <persName ref=""#George_Edwards, Mr._Edwards""> M<hi rend=""sup"">r</hi>. <add rend=""underline"">Edwards</add></persName>.</p>
            <p>
              
              <add rend=""red"">28 C</add>
            </p>
          </div3>

          "
Dr. Massy,#Richard_Middleton_Massey,,['1843'],Miscellanies.,EPF108491004v,"-1843.
            A necklace made of a sweet smelling
                grasse from
              Hudsons bay by the natives who have
              of them made into bracelets by Dr. Massy an cyperus or
              Gr. Mariæ an for ornament or remedy?","<div3 xmlns=""http://www.tei-c.org/ns/1.0"" xmlns:ea=""http://www.enlightenmentarchitectures.org"">
            <ea:catnum type=""primary"" place=""margin"">-1843.</ea:catnum>
            <p>A <add rend=""underline"">necklace</add> made of a sweet smelling
                <material>grasse</material> from<lb/>
              <add rend=""underline""><placeName ref=""#Hudson_Bay"">Hudsons bay</placeName></add> by the natives who have
              of them<lb/> made into bracelets by <persName ref=""#Richard_Middleton_Massey"">D<hi rend=""sup"">r</hi>. <add rend=""underline"">Massy</add></persName> an cyperus or<lb/>
              <abbr>Gr.</abbr> Mariæ an for ornament or remedy?</p>
            <p>
              
            </p>
          </div3>

          "
