div3
place,East Indies
catnum,-1799.
div2,Miscellanies.
div3
place,Norway
catnum,-1801.
div2,Miscellanies.
div3
place,Lisbon
catnum,-1807.
div2,Miscellanies.
div3
place,Lisbone
catnum,-1808.
div2,Miscellanies.
div3
place,Malacca
catnum,-1809.
div2,Miscellanies.
div3
place,China
catnum,1810.
div2,Miscellanies.
div3
place,Lisbon
place,Brasile
catnum,1812.
div2,Miscellanies.
div3
place,China
catnum,-1813.
div2,Miscellanies.
div3
place,Guinea
catnum,-1816.
div2,Miscellanies.
div3
place,Malabar
catnum,-1818.
div2,Miscellanies.
div3
place,England
catnum,-1819.
div2,Miscellanies.
div3
place,London
catnum,1.
div2,Miscellanies.
div3
place,Coromandel
catnum,4.
div2,Miscellanies.
div3
place,China
catnum,___7.
div2,Miscellanies.
div3
place,Persian
catnum,8.
div2,Miscellanies.
div3
place,Tunquin
catnum,___9.
div2,Miscellanies.
div3
place,China
place,Suratte
catnum,12.
div2,Miscellanies.
div3
place,New England
catnum,-1820.
div2,Miscellanies.
div3
place,Berbices
place,Surinam
place,West Indies
catnum,-1822
div2,Miscellanies.
div3
place,Surinam
catnum,-1823.
div2,Miscellanies.
div3
place,Guinea
catnum,-1830.
div2,Miscellanies.
div3
place,hope near Bristol
place,Bristol
catnum,-1831.
div2,Miscellanies.
div3
place,Guinea
catnum,-1833.
div2,Miscellanies.
div3
place,China
catnum,13.
div2,Miscellanies.
div3
place,Isles of Scotland
catnum,14.
div2,Miscellanies.
div3
place,Turkey
catnum,15.
div2,Miscellanies.
div3
place,Brasile
place,Brasile
catnum,__16.
div2,Miscellanies.
div3
place,Brasile
catnum,21.
div2,Miscellanies.
div3
place,Borneo
catnum,24.
div2,Miscellanies.
div3
place,Japan
catnum,-1837.
div2,Miscellanies.
div3
place,Hudsons Bay
catnum,-1838.
div2,Miscellanies.
div3
place,Hudsons bay
catnum,-1843.
div2,Miscellanies.
div3
place,Hudsons bay
catnum,-1844.
div2,Miscellanies.
div3
place,Carolina 
catnum,-1845.
div2,Miscellanies.
div3
place,Canada
catnum,-1846.
div2,Miscellanies.
div3
place,Ireland
catnum,-1847.
div2,Miscellanies.
div3
place,Turky
catnum,26.
div2,Miscellanies.
div3
place,China
catnum,33.
div2,Miscellanies.
div3
place,Mexico
catnum,-1852.
div2,Miscellanies.
div3
place,China
catnum,-1854.
div2,Miscellanies.
div3
place,W.Indies
catnum,-1855
div2,Miscellanies.
div3
place,Hudsons bay
catnum,-1856.
div2,Miscellanies.
div3
place,E.India
catnum,-1858.
div2,Miscellanies.
div3
place,Spaine
catnum,-1860
div2,Miscellanies.
div3
place,Nurinberg
catnum,"
              -1861
            "
div2,Miscellanies.
div3
place,Guinea
catnum,44.
div2,Miscellanies.
div3
place,Jamaica
catnum,-45.
div2,Miscellanies.
div3
place,Virginia
catnum,-48.
div2,Miscellanies.
div3
place,Turkish
catnum,-52.
div2,Miscellanies.
div3
place,Hudsons bay
place,Greenland
catnum,1867.
div2,Miscellanies.
div3
place,fountain court in the strand
catnum,-1869.
div2,Miscellanies.
div3
place,near Croydon
catnum,-1871.
div2,Miscellanies.
div3
place,E Indies
catnum,1877.
div2,Miscellanies.
div3
place, Livonia
catnum,-55.
div2,Miscellanies.
div3
place,Jamaica
catnum,-56.
div2,Miscellanies.
div3
place,Barbary
catnum,-59.
div2,Miscellanies.
div3
place,Japan
catnum,-64.
div2,Miscellanies.
div3
place,China
catnum,-1881.
div2,Miscellanies.
div3
place,N England
catnum,1884.
div2,Miscellanies.
div3
place,Scotland
catnum,1896.
div2,Miscellanies.
div3
place,Japan
catnum,78.
div2,Miscellanies.
div3
place,Surinam
catnum,79.
div2,Miscellanies.
div3
place,China
catnum,81.
div2,Miscellanies.
div3
place,China
catnum,83.
div2,Miscellanies.
div3
place,Jam a
catnum,-1901.
div2,Miscellanies.
div3
place,Malaga
catnum,-1902.
div2,Miscellanies.
div3
place,Jamaica
catnum,-1904.
div2,Miscellanies.
div3
place,Thames
catnum,-1906.
div2,Miscellanies.
div3
place,Scotland
catnum,1911.
div2,Miscellanies.
div3
place,China
catnum,-1916.
div2,Miscellanies.
div3
place,China
catnum,85.
div2,Miscellanies.
div3
place,China
catnum,88.
