,div2_label,place,place_ids,catnum
0,Miscellanies.,['East Indies'],[None],['1799']
29,Miscellanies.,['Japan'],[None],['1837']
40,Miscellanies.,['W.Indies'],[None],['1855']
42,Miscellanies.,['E.India'],[None],['1858']
46,Miscellanies.,['Virginia'],[None],['48']
49,Miscellanies.,['fountain court in the strand'],[None],['1869']
51,Miscellanies.,['E Indies'],[None],['1877']
55,Miscellanies.,['Japan'],[None],['64']
57,Miscellanies.,['N England'],[None],['1884']
59,Miscellanies.,['Japan'],[None],['78']
63,Miscellanies.,['Jama'],[None],['1901']
87,Miscellanies.,['Muscovy'],[None],['1936']
92,Miscellanies.,['west Indian'],[None],['1945']
93,Miscellanies.,['Japan'],[None],['136']
95,Miscellanies.,['Japan'],[None],['138']
96,Miscellanies.,['Japan'],[None],['139']
99,Miscellanies.,['Bethlem'],[None],['151']
102,Miscellanies.,['Japan'],[None],['169']
103,Miscellanies.,['Japan'],[None],['170']
106,Miscellanies.,['East Indian'],[None],['1994']
117,Miscellanies.,['Nurenberg'],[None],['2013']
133,Miscellanies.,['Streights of Magellan'],[None],['225']
145,Miscellanies.,['East Indies'],[None],['2063']
146,Miscellanies.,['Santacruz'],[None],['249']
151,Miscellanies.,['Susquehama'],[None],['2068']
156,Miscellanies.,['Virginia'],[None],['2073']
158,Miscellanies.,['Japan'],[None],['272']
160,Miscellanies.,['Japan'],[None],['274']
162,Miscellanies.,['Hudgson bay'],[None],['2079']
164,Miscellanies.,['Japan'],[None],['2082']
170,Miscellanies.,['Oxfordshire.'],[None],['2103']
172,Miscellanies.,['Mada= =gascar'],[None],['2105']
178,Miscellanies.,['East Indies'],[None],['321']
181,Miscellanies.,['Westminster'],[None],['338']
184,Miscellanies.,['West India'],[None],['369']
187,Miscellanies.,['E. Indian'],[None],['407']
195,Miscellanies.,['Virginia'],[None],['446']
196,Miscellanies.,['Virginia'],[None],['447']
201,Miscellanies.,['Magell= an Streights'],[None],['463']
202,Miscellanies.,['Japan'],[None],['465']
204,Miscellanies.,['West Indians'],[None],['473']
205,Miscellanies.,['Westminster'],[None],['475']
207,Miscellanies.,['East India'],[None],['485']
212,Miscellanies.,['East Indies'],[None],['502']
215,Miscellanies.,['Streights of Magellan'],[None],['507']
223,Miscellanies.,['East India'],[None],['539']
226,Miscellanies.,['Mounts mill'],[None],['546']
230,Miscellanies.,['East Indies'],[None],['568']
234,Miscellanies.,['East Indies'],[None],['582']
239,Miscellanies.,['New York'],[None],['595']
253,Miscellanies.,['East Indies'],[None],['673']
256,Miscellanies.,['streights of Magellan'],[None],['696']
258,Miscellanies.,['East Indies'],[None],['699']
260,Miscellanies.,['East Indies'],[None],['702']
261,Miscellanies.,['East Indies'],[None],['703']
273,Miscellanies.,['West Indian'],[None],['738']
274,Miscellanies.,['streights of Magellan'],[None],['742']
275,Miscellanies.,['streights of Magellan'],[None],['744']
276,Miscellanies.,['Magellanic'],[None],['746']
279,Miscellanies.,['Virginia'],[None],['752']
289,Miscellanies.,['East India'],[None],['800']
290,Miscellanies.,['East India'],[None],['811']
291,Miscellanies.,['East India'],[None],['817']
303,Miscellanies.,['Virginia'],[None],['885']
304,Miscellanies.,['India.'],[None],['888']
